Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
328,0.147421,24.784,0,32.18,68.00,773.00
329,0.179701,24.931,0.655469,32.08,68.00,770.00
330,0.386591,28.024,0,32.11,68.00,770.00
331,0.267524,21.727,0.0101563,32.20,68.00,770.00
332,0.1661,23.304,0.738281,32.08,68.00,770.00
333,0.0256443,19.933,0.160156,31.64,68.00,770.00
334,0.451534,33.085,0.411719,31.97,68.00,770.00
335,0.154563,25.146,0.257812,32.07,68.00,770.00
336,0.503304,27.003,0.284766,32.05,68.00,770.00
337,0.147073,32.658,0.103906,32.22,68.00,770.00
338,0.526813,35.972,0.539844,31.88,68.00,770.00
339,0.342217,27.012,0.173438,31.90,68.00,770.00
340,0.373242,30.393,0.502734,32.04,68.00,770.00
341,0.909804,35.220,0.437109,31.73,68.00,770.00
342,0.534607,49.319,0.220313,32.13,68.00,770.00
343,0.0786104,15.568,0.166016,32.05,68.00,770.00
344,0.160331,25.539,0.21875,32.00,68.00,771.00
345,0.223087,37.190,0.175781,32.11,68.00,771.00
346,0.609309,29.678,0.179297,31.89,68.00,771.00
347,0.0895672,20.025,0.100391,32.10,68.00,771.00
348,0.179794,39.300,0.173047,32.32,68.00,771.00
349,0.211544,22.014,0.0628906,32.13,68.00,771.00
350,0.272668,28.040,0.130078,32.15,68.00,771.00
351,0.561707,29.276,0.226562,32.06,68.00,771.00
352,0.209815,47.288,0.251953,32.13,68.00,771.00
353,0.325606,18.387,0.166797,31.84,68.00,771.00
354,0.0888233,27.552,0.379297,32.21,68.00,771.00
355,0.0378361,22.087,0,32.14,68.00,771.00
356,0.460855,36.081,0.772266,32.12,68.00,771.00
357,0.115366,10.841,0.0410156,32.11,68.00,771.00
358,0.109392,14.420,0.0132813,32.22,68.00,771.00
359,0.284516,38.095,1.17656,32.14,68.00,771.00
360,0.115981,38.260,0.00976562,32.22,68.00,771.00
361,0.357232,40.424,0.0292969,32.25,68.00,771.00
362,0.0982971,22.508,0.107031,32.18,68.00,771.00
363,0.535331,38.720,0.194922,32.15,68.00,771.00
364,0.0990114,23.383,0.107813,32.13,68.00,771.00
365,0.182617,22.817,0.0761719,32.15,68.00,771.00
366,0.511671,28.647,0.189063,31.90,68.00,774.00
367,0.19606,33.399,0.112109,32.81,68.00,774.00
