Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
321,0.123106,34.600,0.255859,19.93,108.00,922.00
322,0.166729,40.368,0.311328,20.14,108.00,922.00
323,0.0852613,39.885,0.163672,20.06,108.00,922.00
324,0.126454,16.336,0.09375,20.26,108.00,922.00
325,0.100122,36.285,0.217578,20.03,108.00,922.00
326,0.0481939,22.200,0.194922,19.85,108.00,922.00
327,0.0950975,36.248,0.244531,19.72,108.00,922.00
328,0.13417,30.526,0.212109,19.71,108.00,922.00
329,0.202805,36.223,0.166797,19.80,108.00,925.00
330,0.0568762,37.647,0.270703,20.00,108.00,925.00
331,0.0882969,36.271,0.259766,19.79,108.00,925.00
332,0.059968,20.911,0.837891,19.76,108.00,925.00
333,0.0641632,34.673,0.151563,19.94,108.00,925.00
334,0.053112,19.283,0.0355469,20.25,108.00,925.00
335,0.0465498,23.145,0.152344,20.12,108.00,925.00
336,0.101023,37.044,0.157031,20.12,108.00,940.00
337,0.0788374,36.919,0.0976562,20.13,108.00,940.00
338,0.122862,22.162,0.0363281,20.10,108.00,940.00
339,0.117651,43.144,0.952734,19.99,108.00,940.00
340,0.0507679,27.908,0,20.12,108.00,940.00
341,0.0549917,25.033,0.0691406,20.18,108.00,940.00
342,0.0523472,27.510,0.05625,20.11,108.00,926.00
343,0.104159,29.126,0.140234,19.41,108.00,926.00
